WKT,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,LIN_SENT_N,LIN_SENT_S,METROBUS,NOM_SENTID,Observac,INAUGURA,FECH_INAU
"POINT (-58.4345067293544 -34.6530537561578)","493",San Lorenzo,FERNANDEZ DE LA CRUZ AV,,Entre Charrúa y Berg,46 - 101 - 143 - 150,46 - 101 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz,San Lorenzo,,Agosto 2013,2013-08
"POINT (-58.4310247422642 -34.6502377381994)","494",Perito Moreno,FERNANDEZ DE LA CRUZ AV,,Entre Mom y Erezcano,101 - 143 -150,46 - 101 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz,Perito Moreno,,Agosto 2013,2013-08
"POINT (-58.4245368604566 -34.6441998306971)","495",Av La Plata,FERNANDEZ DE LA CRUZ AV,,Entre Fournier y Riestra,23 - 101 - 143,23 - 101 - 143,Metrobus Sur - Ramal Fernández de la Cruz,Av La Plata,,Agosto 2013,2013-08
"POINT (-58.3808504146978 -34.626514758747)","496",Constitución,JUAN DE GARAY AV,LIMA,JUAN DE GARAY AV & LIMA,,4 - 143,Metrobus Sur,Constitución - Sentido Gral Paz,,Agosto 2013,2013-08
"POINT (-58.4173916376239 -34.6550822146859)","514",Sáenz,RABANAL AV,,Entre Sáenz y Del Barco Centenera,91 - 115,76 - 91 - 115,Metrobus Sur - Ramal Coronel Roca,Sáenz,,Agosto 2013,2013-08
"POINT (-58.4291208883037 -34.65982446642)","515",Berg,RABANAL AV,,Entre Berg y Rivera Indarte,76 - 91 - 115,76 - 91 - 115,Metrobus Sur - Ramal Coronel Roca,Berg,,Agosto 2013,2013-08
"POINT (-58.4335675508044 -34.6619102529716)","516",Varela,RABANAL AV,,Entre Varela y Culpina,76 - 91 - 115,76 - 91 - 115,Metrobus Sur - Ramal Coronel Roca,Varela,,Agosto 2013,2013-08
"POINT (-58.4374888747572 -34.6637786189853)","517",Lafuente,RABANAL AV,,Entre San Pedrito y José Martí,76 - 91 - 115,91 - 115,Metrobus Sur - Ramal Coronel Roca,Lafuente,,Agosto 2013,2013-08
"POINT (-58.4559844414297 -34.6851328294909)","528",Larrazábal,ROCA CNEL AV,,Entre Pasaje Roca y Larrazábal,91 - 115,91 - 115,Metrobus Sur - Ramal Coronel Roca,Larrazábal,,Agosto 2013,2013-08
"POINT (-58.4272309421281 -34.5776233976508)","531",Regimiento Patricios,SANTA FE AV,,Entre Humboldt y Av Bullrich,15 - 55 - 60,,Centro de Transbordo Pacífico,Regimiento Patricios,,Noviembre 2016,2016-11
"POINT (-58.4661556025108 -34.6297769304964)","629",Bolivia,RIVADAVIA AV.,,Entre Estado Plur. de Bolivia y Condarco,1 - 2 - 8 - 36 - 86 - 88 - 92 - 96 - 136 - 141 - 163,,Centro de Transbordo Flores - Roberto Arlt,Bolivia - Sentido Provincia de Buenos Aires,,Septiembre 2017,2017-09
"POINT (-58.4649262091223 -34.6294488931923)","630",Artigas,RIVADAVIA AV.,,Entre José de Artigas y Estado Plur. de Bolivia,5 - 25 - 49 - 53 - 55 - 76 - 85 - 113 - 132 - 133,,Centro de Transbordo Flores - Roberto Arlt,Artigas - Sentido Provincia de Buenos Aires,,Septiembre 2017,2017-09
"POINT (-58.4689629173607 -34.6305569753887)","631",San Pedrito,RIVADAVIA AV.,,Entre San Pedrito Av y Lafuente,,1 - 2 - 5 - 25 - 49 - 53 - 85 - 92,Centro de Transbordo Flores - Roberto Arlt,San Pedrito - Sentido Ciudad de Buenos Aires,,Septiembre 2017,2017-09
"POINT (-58.4675592553504 -34.6302009678639)","632",Lafuente,RIVADAVIA AV.,,Entre Lafuente y Culpina,,8 - 33 - 55 - 76 - 86 - 96 - 113 - 133 - 136 - 141 - 163,Centro de Transbordo Flores - Roberto Arlt,Lafuente - Sentido Ciudad de Buenos Aires,,Septiembre 2017,2017-09
"POINT (-58.4382054629878 -34.5885823162801)","633",Av Córdoba,JUSTO JUAN B.,CORDOBA AV,JUSTO JUAN B. &  CORDOBA  AV,,34 - 166,Metrobus Juan B. Justo,Av Córdoba  - Sentido Liniers,Inauguradas en Agosto de 2019,Agosto 2019,2019-08
"POINT (-58.4382876617612 -34.5890869906298)","634",Av Córdoba,JUSTO JUAN B.,CORDOBA AV,JUSTO JUAN B. &  CORDOBA  AV,34 - 166,,Metrobus Juan B. Justo,Av Córdoba  - Sentido Pacífico,Inauguradas en Agosto de 2019,Agosto 2019,2019-08
