WKT,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,LIN_SENT_N,LIN_SENT_S,METROBUS,NOM_SENTID,Observac,INAUGURA,FECH_INAU
"POINT (-58.4630402490728 -34.555034107934)","105",Congreso,CABILDO AV,,Entre Av Congreso y Quesada,,59 - 60 - 68 - 152 - 161,Metrobus Norte - Av Cabildo,Congreso - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4640554582647 -34.5540376226774)","106",Quesada,CABILDO AV,,Entre Quesada e Iberá,,29 - 57- 133 - 168 - 184 - 194,Metrobus Norte - Av Cabildo,Quesada - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4653705684243 -34.5523958932499)","107",Iberá,CABILDO AV,,Entre Guayra y Campos Salles,60 - 133 - 168,,Metrobus Norte - Av Cabildo,Iberá - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4647983861975 -34.5530984026761)","108",Iberá,CABILDO AV,,Entre Iberá y Guayra,59 - 68 - 152 - 161,,Metrobus Norte - Av Cabildo,Iberá - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4658043124177 -34.5518461016954)","109",Campos Salles,CABILDO AV,,Entre Campos Salles y Manuela Pedraza,29 - 184,,Metrobus Norte - Av Cabildo,Campos Salles - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4663619033149 -34.5512704722739)","110",Manuela Pedraza,CABILDO AV,,Entre Manuela Pedraza y Juana Azurduy,,59 - 60 - 68 - 152,Metrobus Norte - Av Cabildo,Manuela Pedraza - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.466966582846 -34.5505085051723)","111",Juana Azurduy,CABILDO AV,,Entre Juana Azurduy y Núñez,,133 - 161 - 168 - 184,Metrobus Norte - Av Cabildo,Juana Azurduy - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4677332792082 -34.5494489437135)","112",Núñez,CABILDO AV,,Entre Núñez y Crisólogo Larralde,59 - 60 - 68 - 133 - 152 - 161 - 168 - 184,,Metrobus Norte - Av Cabildo,Núñez - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4683023646823 -34.5487196728523)","114",Crisólogo Larralde,CABILDO AV,,Entre Crisólogo Larralde y Av Comodoro Rivadavia,57 - 194,,Metrobus Norte - Av Cabildo,Crisólogo Larralde - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4690927561367 -34.547856311208)","115",Manzanares,CABILDO AV,,Entre Av García del Río y Manzanares,,59 - 60 - 68 - 133 - 152,Metrobus Norte - Av Cabildo,Manzanares - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4702624740901 -34.5462309734205)","116",Vilela,CABILDO AV,,Entre Paroissien y Vilela,59 - 68 - 152 - 161,,Metrobus Norte - Av Cabildo,Vilela - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4706971573893 -34.5456521267939)","117",Besares,CABILDO AV,,Entre Vilela y Besares,60 - 133 - 168 - 184,,Metrobus Norte - Av Cabildo,Besares - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4713175689054 -34.5449261082213)","118",Ruiz Huidobro,CABILDO AV,,Entre Besares y Ruiz Huidobro,,59 - 60 - 68 - 152,Metrobus Norte - Av Cabildo,Ruiz Huidobro - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4718233637922 -34.5442393370007)","119",Correa,CABILDO AV,,Entre Ruiz Huidobro y Correa,,133 - 161 - 168 - 184,Metrobus Norte - Av Cabildo,Correa - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4723607485782 -34.5433955932041)","120",Ramallo,CABILDO AV,,Entre Correa y Ramallo,59 - 68 - 152 - 161,,Metrobus Norte - Av Cabildo,Ramallo - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4729178936884 -34.5426434099019)","121",Arias,CABILDO AV,,Entre Ramallo y Arias,60 - 133 - 168 - 184,,Metrobus Norte - Av Cabildo,Arias - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4735382640231 -34.5419206498613)","122",Deheza,CABILDO AV,,Entre Arias y Deheza,,59 - 60 - 68 - 152,Metrobus Norte - Av Cabildo,Deheza - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.474099341091 -34.5411717308058)","123",Pico,CABILDO AV,,Entre Deheza y Pico,,133 - 161 - 168 - 184,Metrobus Norte - Av Cabildo,Pico - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4757449191797 -34.5388212019738)","124",Puente Saavedra,CABILDO AV,PAZ GRAL AV,Debajo de la Av Gral Paz,59 - 130 - 152 - 184,,Metrobus Norte - Av Cabildo,Puente Saavedra - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4759249866061 -34.5389011995107)","125",Puente Saavedra,CABILDO AV,PAZ GRAL AV,Debajo de la Av Gral Paz,,152 - 161 - 184,Metrobus Norte - Av Cabildo,Puente Saavedra - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4755148362968 -34.5387370706234)","126",Puente Saavedra,CABILDO AV,PAZ GRAL AV,Debajo de la Av Gral Paz,21 - 60 - 68 - 133 - 151 - 168,,Metrobus Norte - Av Cabildo,Puente Saavedra - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4761367416021 -34.5390487937852)","127",Puente Saavedra,CABILDO AV,PAZ GRAL AV,Debajo de la Av Gral Paz,,19 - 59 - 71 - 130 - 151,Metrobus Norte - Av Cabildo,Puente Saavedra - Sentido CABA/Pacífico,,Junio 2015,2015-06
"POINT (-58.4772934124832 -34.53590485531)","128",Laprida,MAIPU AV,,Entre Aristóbulo del Valle y Francisco Narciso de Laprida,19 - 59 - 60 -71 - 130 - 152,,Metrobus Norte - Av Maipú (provincia),Laprida - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4777865363728 -34.5349376198706)","129",Alsina,MAIPU AV,,Entre Narciso de Laprida y Adolfo Alsina,21 - 161 - 168 - 184 - 203 - 314 - 365,,Metrobus Norte - Av Maipú (provincia),Alsina - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4783707266325 -34.534020613533)","130",Álvarez,MAIPU AV,,Entre Adolfo Alsina y Agustín Álvarez,,19 - 59 - 71 -152 - 161,Metrobus Norte - Av Maipú (provincia),Álvarez - Sentido Ciudad de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4788562477194 -34.5331036173575)","131",Lavalle,MAIPU AV,,Entre Agustín Álvarez y Gral Lavalle,,60 - 130 - 168 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia),Lavalle - Sentido Ciudad de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4791899696606 -34.5321301164309)","132",Las Heras,MAIPU AV,,Entre Gral Lavalle y Las Heras,19 - 59 - 60 - 71 - 130 - 152 - 168,,Metrobus Norte - Av Maipú (provincia),Las Heras - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4796906368785 -34.5311565913277)","133",Guemes,MAIPU AV,,Entre Las Heras y Guemes,21 - 161 - 184 - 203 - 314 - 365,,Metrobus Norte - Av Maipú (provincia),Guemes - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4803278861515 -34.53017048365)","134",Melo,MAIPU AV,,Entre Guemes y Melo,,19 - 59- 71 -152,Metrobus Norte - Av Maipú (provincia),Melo - Sentido Ciudad de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.480798202552 -34.5293288457776)","135",Haedo,MAIPU AV,,Entre Melo y Haedo,,60 - 130 - 168 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia),Haedo - Sentido Ciudad de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4813063795186 -34.5281606210937)","136",Santa Rosa,MAIPU AV,,Entre Martín J. Haedo y Santa Rosa,19 - 59 - 71 - 152,,Metrobus Norte - Av Maipú (provincia),Santa Rosa - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4817387412269 -34.5273566673145)","137",Roca,MAIPU AV,,Entre Santa Rosa y Roca,60 - 130 - 168 - 203 - 314 -365,,Metrobus Norte - Av Maipú (provincia),Roca - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4823911333256 -34.5264521907117)","138",Urquiza,MAIPU AV,,Entre Roca y Urquiza,,19 - 59 - 71 - 152,Metrobus Norte - Av Maipú (provincia),Urquiza - Sentido Ciudad de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.482922086928 -34.5254974876937)","139",Vergara,MAIPU AV,,Entre Urquiza y Vergara,,60 - 130 - 168 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia),Vergara - Sentido Ciudad de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4833695259172 -34.5244109085759)","140",San Martín,MAIPU AV,,Entre Vergara y Gral San Martín,19 - 60 - 71 - 130 - 168,,Metrobus Norte - Av Maipú (provincia),San Martín - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.483892867336 -34.523456202311)","141",Arenales,MAIPU AV,,Entre Gral San Martín y Arenales,59 - 152,,Metrobus Norte - Av Maipú (provincia),Arenales - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4843858562533 -34.5225454616651)","142",Libertad,MAIPU AV,,Entre Arenales y Libertad,203 - 314 - 365,,Metrobus Norte - Av Maipú (provincia),Libertad - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4850457433214 -34.5215404828578)","143",Yrigoyen,MAIPU AV,,Entre Libertad e Hipólito Yrigoyen,,19 - 59 - 71 - 152,Metrobus Norte - Av Maipú (provincia),Yrigoyen - Sentido Ciudad de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4856676255012 -34.5203533765764)","144",Italia,MAIPU AV,,Entre Hipólito Yrigoyen e Italia,,21 - 60 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia),Italia - Sentido Ciudad de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4862439232863 -34.5190218270208)","145",Malaver,MAIPU AV,,Entre Italia y Antonio Malaver,19 - 21 - 59 - 60 - 71 - 152 - 203 - 314 - 365,,Metrobus Norte - Av Maipú (provincia),Malaver - Sentido Provincia de Buenos Aires,,Junio 2015,2015-06
"POINT (-58.4593144621467 -34.6042763149154)","147",Pappo Napolitano,AV SAN MARTIN,,Entre Juan B. Justo y Fragata Sarmiento,,Sentido Este: 24 - 57 - 105 - 135 - 146,Metrobus Av San Martín,Pappo Napolitano,,Marzo 2016,2016-03
"POINT (-58.4652151930452 -34.6027749295805)","148",Donato Álvarez,AV SAN MARTIN,,Entre Juan A. García y Adolfo Dickman,Sentido Oeste: 24 - 57 - 105 - 109 - 135 - 146,Sentido Este: 24 - 57 - 105 - 109 - 135 - 146,Metrobus Av San Martín,Donato Álvarez,,Marzo 2016,2016-03
"POINT (-58.4701196552181 -34.6015854135541)","149",Argentinos Juniors,AV SAN MARTIN,,Entre Álvarez Jonte y Miguel Ángel,Sentido Oeste: 24 - 57 - 105 - 146,Sentido Este: 24 - 57 - 105 - 146,Metrobus Av San Martín,Argentinos Juniors,,Marzo 2016,2016-03
"POINT (-58.480939832333 -34.5987624272878)","150",Empedrado,AV SAN MARTIN,,Entre Basilio Cittadini y Gral Rivas,Sentido Oeste: 47 - 57 - 78 - 105 - 146,Sentido Este: 47 - 57 - 78 - 105 - 146,Metrobus Av San Martín,Empedrado,,Marzo 2016,2016-03
"POINT (-58.4835262391179 -34.5977518973572)","151",Agronomía,AV SAN MARTIN,,Entre Gral Rivas y Melincué,Sentido Oeste: 57 - 78 - 105 - 146,Sentido Este: 57 - 78 - 105 - 146,Metrobus Av San Martín,Agronomía,,Marzo 2016,2016-03
"POINT (-58.4868926516253 -34.597481367995)","152",2 de Abril,AV SAN MARTIN,,Entre Melincué y est. Plurinacional de Bolivia,Sentido Oeste: 57 - 78 - 105 - 146,Sentido Este: 57 - 78 - 105 - 146,Metrobus Av San Martín,2 de Abril,,Marzo 2016,2016-03
"POINT (-58.4914967529747 -34.5971621586626)","153",Comunicaciones,AV SAN MARTIN,,Entre Tinogasta y Nazca,Sentido Oeste: 57 - 78 - 105 - 146,Sentido Este: 57 - 78 - 105 - 146,Metrobus Av San Martín,Comunicaciones,,Marzo 2016,2016-03
"POINT (-58.4951986182815 -34.596915822264)","154",Roffo,AV SAN MARTIN,,Entre Nazca y Beiró,Sentido Oeste: 57 - 78 - 105 - 146,Sentido Este: 57 - 78 - 105 - 146,Metrobus Av San Martín,Roffo,,Marzo 2016,2016-03
"POINT (-58.4993825715727 -34.5959967210566)","155",Solano López,AV SAN MARTIN,,Entre Navarro y Pedro Morán,Sentido Oeste: 57 - 78,Sentido Este: 57 - 78 - 105,Metrobus Av San Martín,Solano López,,Marzo 2016,2016-03
"POINT (-58.5075029500653 -34.5929778140264)","156",Cubas,AV SAN MARTIN,,Entre Habana y Vallejos,Sentido Oeste: 57 - 78 - 123 - 176,Sentido Este: 57 - 78,Metrobus Av San Martín,Cubas,,Marzo 2016,2016-03
"POINT (-58.5111921840825 -34.5916313705306)","157",Mosconi,AV SAN MARTIN,,Entre Gabriela Mistral y Carlos Antonio López,Sentido Oeste: 57 - 78 - 87 - 123 - 176,Sentido Este: 57 - 78 - 123 - 176,Metrobus Av San Martín,Mosconi,,Marzo 2016,2016-03
"POINT (-58.5151947684576 -34.5904202833159)","158",Ladines,AV SAN MARTIN,,Entre Griveo y Cabezón José León,Sentido Oeste: 57 - 78 - 87 - 123 - 176,Sentido Este: 57 - 78 - 87 - 123 - 176,Metrobus Av San Martín,Ladines,,Marzo 2016,2016-03
"POINT (-58.4603359770131 -34.557893709816)","159",Monroe,CABILDO AV,,Entre Av Monroe y Roosevelt,,29 - 41 - 59 - 60 - 152 - 161,Metrobus Norte - Av Cabildo,Monroe - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4597690625198 -34.5585471609047)","160",Blanco Encalada,CABILDO AV,,Entre Blanco Encalada y Av Monroe,,68 - 168 - 184,Metrobus Norte - Av Cabildo,Blanco Encalada - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4592693598874 -34.5589101308963)","161",Blanco Encalada,CABILDO AV,,Entre Blanco Encalada y Av Monroe,161 - 168 - 184,,Metrobus Norte - Av Cabildo,Blanco Encalada - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.4586468663702 -34.5596880885292)","162",Olazábal,CABILDO AV,,Entre Olazábal y Blanco Encalada,29 - 41 - 59 - 60 - 68 - 152,,Metrobus Norte - Av Cabildo,Olazábal - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.4579822682128 -34.5605738222489)","163",Mendoza,CABILDO AV,,Entre Mendoza y Olazábal,,29 - 41 - 59 - 60 - 68 - 152 - 161,Metrobus Norte - Av Cabildo,Mendoza - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4571422863906 -34.5614442726841)","164",Juramento,CABILDO AV,,Entre Juramento y Mendoza,57 - 194,,Metrobus Norte - Av Cabildo,Juramento - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.4554714829533 -34.5633875060733)","165",Sucre,CABILDO AV,,Entre Sucre y Echeverría,41 - 59 - 60 - 63 - 67 - 68 - 152 - 161 - 168 - 184,,Metrobus Norte - Av Cabildo,Sucre - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.454769894658 -34.5643330336182)","166",La Pampa,CABILDO AV,,Entre La Pampa y Sucre,,44 - 63 - 65 - 80 - 168 - 184,Metrobus Norte - Av Cabildo,La Pampa - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4528456948676 -34.5658770344114)","167",Virrey del Pino,CABILDO AV,,Entre Virrey del Pino y José Hernández,,57 - 194,Metrobus Norte - Av Cabildo,Virrey del Pino - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4516101871309 -34.5665069663215)","168",Virrey Arredondo,CABILDO AV,,Entre Virrey Arredondo y Virrey del Pino,,41 - 59 - 60 - 63 - 67 - 68 - 152 - 161,Metrobus Norte - Av Cabildo,Virrey Arredondo - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4501834432642 -34.5671986472451)","169",Virrey Loreto,CABILDO AV,,Entre Virrey Loreto y Virrey Arredondo,59 - 60 - 152,,Metrobus Norte - Av Cabildo,Virrey Loreto - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.4492771548003 -34.5676742220325)","170",Zabala,CABILDO AV,,Entre Céspedes y Virrey Loreto,41 - 63 - 67 - 68 - 161,,Metrobus Norte - Av Cabildo,Zabala - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.4485755419468 -34.568137383314)","171",Céspedes,CABILDO AV,,Entre Céspedes y Zabala,,59 - 60 - 63 - 67,Metrobus Norte - Av Cabildo,Céspedes - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4476031423201 -34.5686463223222)","172",Aguilar,CABILDO AV,,Entre Aguilar y Céspedes,,41 - 68 - 152 - 161,Metrobus Norte - Av Cabildo,Aguilar - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4467630017936 -34.5689919915472)","173",Palpa,CABILDO AV,,Entre Palpa y Aguilar,59 - 60 - 152,,Metrobus Norte - Av Cabildo,Palpa - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.4444956007118 -34.5701007872381)","174",Olleros,CABILDO AV,,Entre Olleros y Av Federizo Lacroze,68 - 161,,Metrobus Norte - Av Cabildo,Olleros - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.4422402991583 -34.5713305367152)","176",Maure,CABILDO AV,,Entre Maure y Gorostiaga,,57 - 194,Metrobus Norte - Av Cabildo,Maure - Sentido CABA/Pacífico,,Noviembre 2016,2016-11
"POINT (-58.4402531609049 -34.5723384714251)","178",Matienzo,CABILDO AV,,Entre Benjamín Matienzo y Jorge Newbery,57 - 194,,Metrobus Norte - Av Cabildo,Matienzo - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.4222263710932 -34.5806717515867)","184",Thames,SANTA FE AV,,Entre Uriarte y Thames,,55 - 160,Centro de Transbordo Pacífico,Thames - Sentido Ciudad de Buenos Aires,,Noviembre 2016,2016-11
"POINT (-58.4270279569102 -34.5779921345942)","189",Juan B. Justo,SANTA FE AV,,Entre Av Juan B Justo y Humboldt,,64 - 68 - 161,Centro de Transbordo Pacífico,Juan B. Justo - Sentido Ciudad de Buenos Aires,,Noviembre 2016,2016-11
"POINT (-58.4463801333485 -34.5691795973681)","193",Teodoro García,CABILDO AV,,Entre Teodoro García y Palpa,41 - 63 - 67,,Metrobus Norte - Av Cabildo,Teodoro García - Sentido Provincia/Gral Paz,,Noviembre 2016,2016-11
"POINT (-58.3693190673594 -34.614190013419)","194",México,PASEO COLON AV.,,Entre México y Rep. Bolivariana de Venezuela,,33 - 143 - 159,Metrobus del Bajo,México - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3692278185134 -34.6152821966222)","195",Chile,PASEO COLON AV.,,Entre Chile y México,,8 - 74 - 86 - 93,Metrobus del Bajo,Chile - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3692453898642 -34.6164565178942)","196",Av Independencia,PASEO COLON AV.,,Entre Av Independencia y Chile,,61 - 64 - 130 - 152,Metrobus del Bajo,Av Independencia - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3690046313553 -34.6164382369327)","197",Av Independencia,PASEO COLON AV.,,Entre Av Independencia y Chile,29 - 62 - 152,,Metrobus del Bajo,Av Independencia - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3691044267011 -34.6152846748631)","198",Chile,PASEO COLON AV.,,Entre Chile y México,33 - 64 - 130 -143,,Metrobus del Bajo,Chile - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3691767978924 -34.6141853803653)","199",México,PASEO COLON AV.,,Entre México y Rep. Bolivariana de Venezuela,74 - 93 - 159,,Metrobus del Bajo,México - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3694640530669 -34.6117652199006)","200",Av Belgrano,PASEO COLON AV.,,Entre Av Belgrano y Moreno,,61 - 64 - 93 - 111 - 130 - 152,Metrobus del Bajo,Av Belgrano - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3694872757394 -34.6105708813883)","201",Moreno,PASEO COLON AV.,,Entre Moreno y Adolfo Alsina,,8 - 33 - 74 - 86 - 143 - 159,Metrobus del Bajo,Moreno - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3695209863806 -34.6097837176594)","202",Alsina,PASEO COLON AV.,,Entre Adolfo Alsina e Hipólito Yrigoyen,,"195",Metrobus del Bajo,Alsina - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3694225039444 -34.6097745942508)","203",Alsina,PASEO COLON AV.,,Entre Adolfo Alsina e Hipólito Yrigoyen,"195",,Metrobus del Bajo,Alsina - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3693887822543 -34.6105708060988)","204",Moreno,PASEO COLON AV.,,Entre Moreno y Adolfo Alsina,29 - 64 - 74 - 93 - 159,,Metrobus del Bajo,Moreno - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3693217927934 -34.6117560629484)","205",Av Belgrano,PASEO COLON AV.,,Entre Av Belgrano y Moreno,33 - 62 - 130 - 143 - 152,,Metrobus del Bajo,Av Belgrano - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3700628160926 -34.6047488296103)","206",Perón,ALEM LEANDRO N. AV.,,Entre Perón Juan D y Sarmiento,7 - 22 - 28 - 33 - 126 - 143,,Metrobus del Bajo,Perón - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3701461029791 -34.6036540649886)","207",Sarmiento,ALEM LEANDRO N. AV.,,Entre Sarmiento y Av Corrientes,56 - 62 - 91 - 93 - 130 - 152,,Metrobus del Bajo,Sarmiento - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3702719353077 -34.603663208537)","208",Sarmiento,ALEM LEANDRO N. AV.,,Entre Sarmiento y Av Corrientes,,22 - 28 - 50 - 56 - 91 - 126,Metrobus del Bajo,Sarmiento - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.370471486762 -34.6013289325984)","209",Lavalle,ALEM LEANDRO N. AV.,,Entre Lavalle y Tucumán,,7 - 33 - 143 - 195,Metrobus del Bajo,Lavalle - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.370377223833 -34.6024598822269)","210",Av Corrientes,ALEM LEANDRO N. AV.,,Entre Av Corrientes y Lavalle,,61 - 93 - 130 - 152,Metrobus del Bajo,Av Corrientes - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3715558018252 -34.5975538633411)","211",Av Córdoba,ALEM LEANDRO N. AV.,,Entre Av Córdoba y Paraguay,7 - 22 - 33 - 62 - 143 - 152,,Metrobus del Bajo,Av Córdoba - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3716444298996 -34.5975832554361)","212",Av Córdoba,ALEM LEANDRO N. AV.,,Entre Av Córdoba y Paraguay,,22 - 28 - 50 - 56 - 61 - 126 - 152,Metrobus del Bajo,Av Córdoba - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3706041552246 -34.6000984818086)","213",Tucumán,ALEM LEANDRO N. AV.,,Entre Tucumán y Viamonte,6 - 26 - 50 - 195,,Metrobus del Bajo,Tucumán - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3708898858809 -34.5989812480293)","214",Viamonte,ALEM LEANDRO N. AV.,,Entre Viamonte y Av Córdoba,23 - 93 - 115 - 130,,Metrobus del Bajo,Viamonte - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.3730336804268 -34.5947075794746)","215",Ricardo Rojas,ALEM LEANDRO N. AV.,,Entre Ricardo Rojas y San Martín,,7 - 33 - 143,Metrobus del Bajo,Ricardo Rojas - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3726225191759 -34.5954944681167)","216",Marcelo T. de Alvear,ALEM LEANDRO N. AV.,,Entre Marcelo T. de Alvear y Ricardo Rojas,,5 - 9- 45 - 91 - 93 - 130,Metrobus del Bajo,Marcelo T. de Alvear - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3720741545137 -34.5966703249931)","217",Paraguay,ALEM LEANDRO N. AV.,,Entre Paraguay y Marcelo T. de Alvear,,6 - 23 - 26 -115 - 132,Metrobus del Bajo,Paraguay - Sentido Sur,,Junio 2017,2017-06
"POINT (-58.3719647699699 -34.5966385750944)","218",Paraguay,ALEM LEANDRO N. AV.,,Entre Paraguay y Marcelo T. de Alvear,28 - 56 - 91 - 126 - 132,,Metrobus del Bajo,Paraguay - Sentido Norte,,Junio 2017,2017-06
"POINT (-58.5255819719485 -34.6390549664759)","338",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre Montiel y Carhué,Sentido Oeste: 8 - 47,,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Provincia de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5246593929259 -34.6389821243244)","339",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre Carhué y Cosquín,Sentido Oeste: 80 - 117,,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Provincia de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5241862713829 -34.6389383751624)","340",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre Carhué y Cosquín,Sentido Oeste: 46 - 174 - 185,,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Provincia de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5241744910467 -34.6390019201972)","341",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre Carhué y Cosquín,,Sentido Este: 136 - 153 - 163,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Ciudad de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5246535229278 -34.6390407787793)","342",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre Carhué y Cosquín,,Sentido Este: 47 - 80,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Ciudad de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.525576102595 -34.6391136209738)","343",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre Montiel y Carhué,,Sentido Este: 4 - 117,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Ciudad de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5259959920829 -34.6391427295129)","344",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre Montiel y Carhué,,Sentido Este: 1 - 2 - 46,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Ciudad de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5268594377391 -34.6392155926727)","345",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre José León Suárez y Montiel,,Sentido Este: 174 - 182 - 185,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Ciudad de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5272734183388 -34.6392495875435)","346",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre José León Suárez y Montiel,,Sentido Este: 8 - 88 - 96,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Ciudad de Buenos Aires,,Noviembre 2018,2018-11
